"status","AuctionType:","Case#:","FinalJudgmentAmount:","ParcelID:","ParcelLink","PropertyAddress:","address2","PlaintiffMaxBid:","AssessedValue:"
"Canceled per Order","FORECLOSURE"," 2019-009765-CA-01","$93,853.02","30-2219-000-1310","http://www.miamidade.gov/propertysearch/#/?folio=3022190001310","14401 NE 3 CT","MIAMI, FL- 33161","Hidden","$311,572.00"
"Canceled per Order","FORECLOSURE"," 2019-013302-CA-01","$123,085.11","34-1136-011-0850","http://www.miamidade.gov/propertysearch/#/?folio=3411360110850","115 NE 205 TER","MIAMI GARDENS, FL- 33179","Hidden","$141,318.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2016-022341-CA-01","$267,987.97","30-5910-041-0050","http://www.miamidade.gov/propertysearch/#/?folio=3059100410050","13810 SW 112 ST 105","MIAMI, FL- 33186","Hidden","$128,239.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2016-026155-CA-01","$395,508.62","04-3120-013-0100","http://www.miamidade.gov/propertysearch/#/?folio=0431200130100","390 SE 8 AVE","HIALEAH, FL- 33010","Hidden","$278,456.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-000745-CA-01","$28,994.78","04-2035-129-2570","http://www.miamidade.gov/propertysearch/#/?folio=0420351292570","5775 W 20 AVE 109","HIALEAH, FL- 33012","Hidden","$103,246.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-003579-CA-01","$30,883.08","28-1235-077-0160","http://www.miamidade.gov/propertysearch/#/?folio=2812350770160","21050 POINT PL 2001","AVENTURA, FL- 33180","Hidden","$694,697.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-003824-CA-01","$369,243.38","04-2025-010-0320","http://www.miamidade.gov/propertysearch/#/?folio=0420250100320","570 W 77 ST","HIALEAH, FL- 33014","Hidden","$185,939.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-006643-CA-01","$235,237.50","31-2202-046-3410","http://www.miamidade.gov/propertysearch/#/?folio=3122020463410","19380 COLLINS AVE 224","SUNNY ISLES BEACH, FL- 33160","Hidden","$154,484.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-007722-CA-01","$209,758.50","01-3122-052-0760","http://www.miamidade.gov/propertysearch/#/?folio=0131220520760","1486 NW 53 ST","MIAMI, FL- 33142","$170,000.00","$40,031.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-010281-CA-01","$492,525.43","01-4139-005-1260","http://www.miamidade.gov/propertysearch/#/?folio=0141390051260","2323 SW 2 AVE","MIAMI, FL- 33129","Hidden","$436,636.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-012144-CA-01","$305,996.51","30-2107-006-0070","http://www.miamidade.gov/propertysearch/#/?folio=3021070060070","5391 NW 167 ST","MIAMI GARDENS, FL- 33055","Hidden","$134,440.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-014889-CA-01","$207,984.90","30-5019-014-0940","http://www.miamidade.gov/propertysearch/#/?folio=3050190140940","14134 SW 109 PL","MIAMI, FL- 33176","Hidden","$210,615.00"
"Canceled per Order","FORECLOSURE"," 2018-026417-CA-01","$112,604.94","34-1133-007-1610","http://www.miamidade.gov/propertysearch/#/?folio=3411330071610","3271 NW 207 ST","MIAMI , FL- 33056","Hidden","$58,284.00"
"Canceled per Order","FORECLOSURE"," 2018-029644-CA-01","$205,308.97","30-3111-031-0710","http://www.miamidade.gov/propertysearch/#/?folio=3031110310710","7565 NW 16 AVE","MIAMI, FL- 33147","Hidden","$63,776.00"
"Canceled per County","FORECLOSURE"," 2018-032319-CA-01","$339,106.83","28-1235-071-3780","http://www.miamidade.gov/propertysearch/#/?folio=2812350713780","19555 E COUNTRY CLUB DR 8108","AVENTURA, FL- 33180","Hidden","$258,536.00"
"Canceled per Order","FORECLOSURE"," 2018-035658-CA-01","$257,600.91","30-4926-057-1350","http://www.miamidade.gov/propertysearch/#/?folio=3049260571350","13491 SW 62 ST 1","MIAMI, FL- 33183","Hidden","$98,840.00"
"Canceled per Order","FORECLOSURE"," 2018-037032-CA-01","$271,425.33","30-6019-015-1010","http://www.miamidade.gov/propertysearch/#/?folio=3060190151010","11402 SW 238 ST","MIAMI, FL- 33032","Hidden","$97,082.00"
"Other","FORECLOSURE"," 2018-037253-CA-01","$12,523.75","30-1231-059-0280","http://www.miamidade.gov/propertysearch/#/?folio=3012310590280","817 NE 214 LN 04","MIAMI, FL- 33179","Hidden","$130,011.00"
"Canceled per County","FORECLOSURE"," 2019-003354-CA-01","$216,334.03","30-2011-073-0440","http://www.miamidade.gov/propertysearch/#/?folio=3020110730440","7241 NW 174 TER 203","MIAMI, FL- 33015","Hidden","$123,846.00"
"Canceled per Order","FORECLOSURE"," 2019-009765-CA-01","$93,853.02","30-2219-000-1310","http://www.miamidade.gov/propertysearch/#/?folio=3022190001310","14401 NE 3 CT","MIAMI, FL- 33161","Hidden","$311,572.00"
"Canceled per Order","FORECLOSURE"," 2019-013302-CA-01","$123,085.11","34-1136-011-0850","http://www.miamidade.gov/propertysearch/#/?folio=3411360110850","115 NE 205 TER","MIAMI GARDENS, FL- 33179","Hidden","$141,318.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-015279-CA-01","$433,766.14","30-5901-010-0090","http://www.miamidade.gov/propertysearch/#/?folio=3059010100090","12011 SW 93 ST","MIAMI, FL- 33186","$436,709.14","$241,114.00"
"10/01/2019 09:00 AM ET","FORECLOSURE"," 2017-015775-CA-01","$307,426.79","01-4139-084-3300","http://www.miamidade.gov/propertysearch/#/?folio=0141390843300","2101 BRICKELL AVE 2511","MIAMI, FL- 33129","Hidden","$181,272.00"
